Year,Country / territory of asylum/residence,Origin,Population type,Value
#date+year,#country+residence,#country+origin,#population+type,#affected
1993,South Africa,Mozambique,Refugees (incl. refugee-like situations),250000
1994,South Africa,Angola,Refugees (incl. refugee-like situations),581
1994,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),808
1994,South Africa,Ethiopia,Refugees (incl. refugee-like situations),66
1994,South Africa,Liberia,Refugees (incl. refugee-like situations),50
1994,South Africa,Mozambique,Refugees (incl. refugee-like situations),90000
1994,South Africa,Mozambique,Returned refugees,21000
1994,South Africa,Niger,Returned refugees,1
1994,South Africa,Rwanda,Refugees (incl. refugee-like situations),79
1994,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),32
1994,South Africa,Somalia,Refugees (incl. refugee-like situations),96
1994,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),182
1995,South Africa,Angola,Refugees (incl. refugee-like situations),3049
1995,South Africa,Angola,Returned refugees,3
1995,South Africa,Bangladesh,Refugees (incl. refugee-like situations),100
1995,South Africa,China,Refugees (incl. refugee-like situations),53
1995,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),2579
1995,South Africa,Ethiopia,Refugees (incl. refugee-like situations),128
1995,South Africa,Mozambique,Refugees (incl. refugee-like situations),89299
1995,South Africa,Mozambique,Returned refugees,20701
1995,South Africa,Nigeria,Refugees (incl. refugee-like situations),944
1995,South Africa,Pakistan,Refugees (incl. refugee-like situations),324
1995,South Africa,Rwanda,Refugees (incl. refugee-like situations),206
1995,South Africa,Rwanda,Returned refugees,15
1995,South Africa,Somalia,Refugees (incl. refugee-like situations),857
1995,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),3869
1995,South Africa,Various/Unknown,Returned refugees,4
1996,South Africa,Angola,Refugees (incl. refugee-like situations),3876
1996,South Africa,Angola,Returned refugees,308
1996,South Africa,Bangladesh,Refugees (incl. refugee-like situations),452
1996,South Africa,China,Refugees (incl. refugee-like situations),469
1996,South Africa,China,Returned refugees,2
1996,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),2505
1996,South Africa,Dem. Rep. of the Congo,Returned refugees,310
1996,South Africa,Ethiopia,Refugees (incl. refugee-like situations),778
1996,South Africa,Ethiopia,Returned refugees,13
1996,South Africa,Nigeria,Refugees (incl. refugee-like situations),2584
1996,South Africa,Nigeria,Returned refugees,55
1996,South Africa,Pakistan,Refugees (incl. refugee-like situations),1904
1996,South Africa,Pakistan,Returned refugees,16
1996,South Africa,Rwanda,Refugees (incl. refugee-like situations),492
1996,South Africa,Rwanda,Returned refugees,96
1996,South Africa,Somalia,Refugees (incl. refugee-like situations),2371
1996,South Africa,Somalia,Returned refugees,52
1996,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),7214
1996,South Africa,Various/Unknown,Returned refugees,145
1997,South Africa,Angola,Refugees (incl. refugee-like situations),2304
1997,South Africa,Angola,Returned refugees,2
1997,South Africa,Burundi,Refugees (incl. refugee-like situations),389
1997,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),100
1997,South Africa,Ethiopia,Refugees (incl. refugee-like situations),2
1997,South Africa,Nigeria,Refugees (incl. refugee-like situations),1
1997,South Africa,Rwanda,Refugees (incl. refugee-like situations),356
1997,South Africa,Somalia,Refugees (incl. refugee-like situations),3595
1997,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),72
1998,South Africa,Angola,Refugees (incl. refugee-like situations),2502
1998,South Africa,Burundi,Refugees (incl. refugee-like situations),601
1998,South Africa,Burundi,Returned refugees,1
1998,South Africa,Congo,Refugees (incl. refugee-like situations),531
1998,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),95
1998,South Africa,Dem. Rep. of the Congo,Returned refugees,6
1998,South Africa,Ethiopia,Refugees (incl. refugee-like situations),2
1998,South Africa,Ethiopia,Returned refugees,1
1998,South Africa,Nigeria,Refugees (incl. refugee-like situations),4
1998,South Africa,Pakistan,Refugees (incl. refugee-like situations),5
1998,South Africa,Rwanda,Refugees (incl. refugee-like situations),455
1998,South Africa,Somalia,Refugees (incl. refugee-like situations),3910
1998,South Africa,Somalia,Returned refugees,39
1998,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),283
1999,South Africa,Angola,Refugees (incl. refugee-like situations),3816
1999,South Africa,Burundi,Refugees (incl. refugee-like situations),604
1999,South Africa,Burundi,Returned refugees,2
1999,South Africa,Congo,Refugees (incl. refugee-like situations),530
1999,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),4097
1999,South Africa,Dem. Rep. of the Congo,Returned refugees,2
1999,South Africa,Ethiopia,Refugees (incl. refugee-like situations),4
1999,South Africa,Ethiopia,Returned refugees,8
1999,South Africa,Ghana,Refugees (incl. refugee-like situations),1
1999,South Africa,Nigeria,Refugees (incl. refugee-like situations),4
1999,South Africa,Pakistan,Refugees (incl. refugee-like situations),6
1999,South Africa,Rwanda,Refugees (incl. refugee-like situations),446
1999,South Africa,Rwanda,Returned refugees,4
1999,South Africa,Somalia,Refugees (incl. refugee-like situations),4704
1999,South Africa,Somalia,Returned refugees,27
1999,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),326
1999,South Africa,Various/Unknown,Returned refugees,2
2000,South Africa,Afghanistan,Refugees (incl. refugee-like situations),5
2000,South Africa,Afghanistan,Asylum-seekers,8
2000,South Africa,Algeria,Asylum-seekers,108
2000,South Africa,Angola,Refugees (incl. refugee-like situations),3897
2000,South Africa,Angola,Asylum-seekers,371
2000,South Africa,Bangladesh,Asylum-seekers,418
2000,South Africa,Benin,Asylum-seekers,82
2000,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),16
2000,South Africa,Bosnia and Herzegovina,Asylum-seekers,8
2000,South Africa,Bulgaria,Asylum-seekers,221
2000,South Africa,Burundi,Refugees (incl. refugee-like situations),632
2000,South Africa,Burundi,Asylum-seekers,1165
2000,South Africa,Cameroon,Asylum-seekers,284
2000,South Africa,China,Asylum-seekers,392
2000,South Africa,Comoros,Asylum-seekers,76
2000,South Africa,Congo,Refugees (incl. refugee-like situations),592
2000,South Africa,Congo,Asylum-seekers,658
2000,South Africa,Cote d'Ivoire,Asylum-seekers,250
2000,South Africa,Croatia,Refugees (incl. refugee-like situations),7
2000,South Africa,Croatia,Asylum-seekers,3
2000,South Africa,Cuba,Refugees (incl. refugee-like situations),1
2000,South Africa,Cuba,Asylum-seekers,1
2000,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),4454
2000,South Africa,Dem. Rep. of the Congo,Asylum-seekers,759
2000,South Africa,Dem. Rep. of the Congo,Returned refugees,15
2000,South Africa,Egypt,Refugees (incl. refugee-like situations),1
2000,South Africa,Egypt,Asylum-seekers,66
2000,South Africa,Eritrea,Asylum-seekers,239
2000,South Africa,Ethiopia,Refugees (incl. refugee-like situations),4
2000,South Africa,Ethiopia,Asylum-seekers,1355
2000,South Africa,Ghana,Refugees (incl. refugee-like situations),2
2000,South Africa,Ghana,Asylum-seekers,346
2000,South Africa,India,Asylum-seekers,1450
2000,South Africa,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),2
2000,South Africa,Iraq,Refugees (incl. refugee-like situations),7
2000,South Africa,Iraq,Asylum-seekers,22
2000,South Africa,Kenya,Refugees (incl. refugee-like situations),1
2000,South Africa,Kenya,Asylum-seekers,304
2000,South Africa,Liberia,Refugees (incl. refugee-like situations),120
2000,South Africa,Liberia,Asylum-seekers,122
2000,South Africa,Mali,Asylum-seekers,39
2000,South Africa,Nigeria,Refugees (incl. refugee-like situations),3
2000,South Africa,Nigeria,Asylum-seekers,1036
2000,South Africa,Nigeria,Returned refugees,1
2000,South Africa,Pakistan,Refugees (incl. refugee-like situations),3
2000,South Africa,Pakistan,Asylum-seekers,1389
2000,South Africa,Rwanda,Refugees (incl. refugee-like situations),402
2000,South Africa,Rwanda,Asylum-seekers,432
2000,South Africa,Senegal,Asylum-seekers,655
2000,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),25
2000,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,48
2000,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),1
2000,South Africa,Sierra Leone,Asylum-seekers,202
2000,South Africa,Somalia,Refugees (incl. refugee-like situations),4810
2000,South Africa,Somalia,Asylum-seekers,626
2000,South Africa,Somalia,Returned refugees,3
2000,South Africa,Sri Lanka,Asylum-seekers,9
2000,South Africa,Sudan,Refugees (incl. refugee-like situations),76
2000,South Africa,Sudan,Asylum-seekers,129
2000,South Africa,Sudan,Returned refugees,1
2000,South Africa,Uganda,Asylum-seekers,471
2000,South Africa,United Rep. of Tanzania,Asylum-seekers,550
2000,South Africa,Various/Unknown,Asylum-seekers,748
2000,South Africa,Zambia,Refugees (incl. refugee-like situations),2
2000,South Africa,Zambia,Asylum-seekers,96
2001,South Africa,Afghanistan,Refugees (incl. refugee-like situations),10
2001,South Africa,Afghanistan,Asylum-seekers,5
2001,South Africa,Albania,Asylum-seekers,2
2001,South Africa,Algeria,Refugees (incl. refugee-like situations),1
2001,South Africa,Algeria,Asylum-seekers,37
2001,South Africa,Angola,Refugees (incl. refugee-like situations),4752
2001,South Africa,Angola,Asylum-seekers,442
2001,South Africa,Angola,Returned refugees,3
2001,South Africa,Bangladesh,Asylum-seekers,423
2001,South Africa,Benin,Asylum-seekers,13
2001,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),24
2001,South Africa,Bosnia and Herzegovina,Asylum-seekers,6
2001,South Africa,Bulgaria,Asylum-seekers,238
2001,South Africa,Burkina Faso,Asylum-seekers,17
2001,South Africa,Burundi,Refugees (incl. refugee-like situations),1439
2001,South Africa,Burundi,Asylum-seekers,335
2001,South Africa,Cameroon,Asylum-seekers,280
2001,South Africa,China,Asylum-seekers,318
2001,South Africa,"China, Macao SAR",Refugees (incl. refugee-like situations),1
2001,South Africa,Comoros,Asylum-seekers,62
2001,South Africa,Congo,Refugees (incl. refugee-like situations),811
2001,South Africa,Congo,Asylum-seekers,275
2001,South Africa,Congo,Returned refugees,2
2001,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),1
2001,South Africa,Cote d'Ivoire,Asylum-seekers,235
2001,South Africa,Croatia,Refugees (incl. refugee-like situations),8
2001,South Africa,Croatia,Asylum-seekers,1
2001,South Africa,Cuba,Refugees (incl. refugee-like situations),1
2001,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),4993
2001,South Africa,Dem. Rep. of the Congo,Asylum-seekers,471
2001,South Africa,Dem. Rep. of the Congo,Returned refugees,2
2001,South Africa,Egypt,Refugees (incl. refugee-like situations),1
2001,South Africa,Egypt,Asylum-seekers,27
2001,South Africa,Eritrea,Asylum-seekers,58
2001,South Africa,Ethiopia,Refugees (incl. refugee-like situations),6
2001,South Africa,Ethiopia,Asylum-seekers,851
2001,South Africa,Gabon,Asylum-seekers,6
2001,South Africa,Gambia,Asylum-seekers,3
2001,South Africa,Georgia,Asylum-seekers,1
2001,South Africa,Ghana,Refugees (incl. refugee-like situations),5
2001,South Africa,Ghana,Asylum-seekers,355
2001,South Africa,Hungary,Asylum-seekers,1
2001,South Africa,India,Refugees (incl. refugee-like situations),1
2001,South Africa,India,Asylum-seekers,734
2001,South Africa,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),4
2001,South Africa,Iran (Islamic Rep. of),Asylum-seekers,12
2001,South Africa,Iraq,Refugees (incl. refugee-like situations),7
2001,South Africa,Iraq,Asylum-seekers,13
2001,South Africa,Kenya,Refugees (incl. refugee-like situations),1
2001,South Africa,Kenya,Asylum-seekers,181
2001,South Africa,Liberia,Refugees (incl. refugee-like situations),165
2001,South Africa,Liberia,Asylum-seekers,49
2001,South Africa,Mali,Refugees (incl. refugee-like situations),1
2001,South Africa,Mali,Asylum-seekers,116
2001,South Africa,Morocco,Asylum-seekers,12
2001,South Africa,Mozambique,Refugees (incl. refugee-like situations),1
2001,South Africa,Mozambique,Asylum-seekers,12
2001,South Africa,Nigeria,Refugees (incl. refugee-like situations),9
2001,South Africa,Nigeria,Asylum-seekers,715
2001,South Africa,Pakistan,Refugees (incl. refugee-like situations),10
2001,South Africa,Pakistan,Asylum-seekers,1111
2001,South Africa,Rwanda,Refugees (incl. refugee-like situations),820
2001,South Africa,Rwanda,Asylum-seekers,203
2001,South Africa,Rwanda,Returned refugees,1
2001,South Africa,Senegal,Refugees (incl. refugee-like situations),1
2001,South Africa,Senegal,Asylum-seekers,952
2001,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),27
2001,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,34
2001,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),41
2001,South Africa,Sierra Leone,Asylum-seekers,28
2001,South Africa,Slovenia,Refugees (incl. refugee-like situations),1
2001,South Africa,Somalia,Refugees (incl. refugee-like situations),5336
2001,South Africa,Somalia,Asylum-seekers,357
2001,South Africa,Somalia,Returned refugees,3
2001,South Africa,Sri Lanka,Asylum-seekers,9
2001,South Africa,Sudan,Refugees (incl. refugee-like situations),120
2001,South Africa,Sudan,Asylum-seekers,39
2001,South Africa,Syrian Arab Rep.,Asylum-seekers,1
2001,South Africa,Uganda,Asylum-seekers,244
2001,South Africa,Ukraine,Asylum-seekers,2
2001,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),1
2001,South Africa,United Rep. of Tanzania,Asylum-seekers,309
